Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Flyweight Bout,Victor Altamirano,Daniel Lacerda,False,KO/TKO,1,3:39,,Dave Seljestad,,Daniel Lacerda,1,22 of 45,48%,27 of 51,0 of 0,---,0,0,0:03,22 of 45,14 of 36,3 of 4,5 of 5,16 of 33,2 of 6,4 of 6,Victor Altamirano,1,58 of 83,69%,94 of 123,0 of 0,---,0,0,1:55,58 of 83,48 of 71,9 of 10,1 of 2,15 of 28,2 of 2,41 of 53
Bantamweight Bout,Marlon Vera,Dominick Cruz,False,KO/TKO,4,2:17,,Herb Dean,,Marlon Vera,3,61 of 156,39%,63 of 160,0 of 0,---,0,0,0:10,61 of 156,35 of 121,13 of 21,13 of 14,54 of 146,5 of 6,2 of 4,Dominick Cruz,0,92 of 249,36%,100 of 259,2 of 7,28%,0,0,1:05,92 of 249,54 of 193,16 of 32,22 of 24,89 of 245,1 of 2,2 of 2
Featherweight Bout,Nate Landwehr,David Onama,False,Decision - Majority,3,5:00,,Mike Beltran,,Nate Landwehr,0,91 of 185,49%,133 of 253,3 of 4,75%,2,1,5:05,91 of 185,73 of 154,10 of 18,8 of 13,52 of 120,22 of 35,17 of 30,David Onama,1,71 of 174,40%,79 of 186,1 of 6,16%,0,1,1:13,71 of 174,62 of 158,8 of 15,1 of 1,50 of 139,1 of 3,20 of 32
Women's Strawweight Bout,Yazmin Jauregui,Iasmin Lucindo,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Yazmin Jauregui,0,86 of 218,39%,87 of 219,0 of 0,---,0,0,0:13,86 of 218,52 of 159,9 of 25,25 of 34,81 of 210,5 of 8,0 of 0,Iasmin Lucindo,0,66 of 181,36%,66 of 181,0 of 2,0%,0,0,0:34,66 of 181,42 of 148,15 of 22,9 of 11,64 of 179,2 of 2,0 of 0
Light Heavyweight Bout,Azamat Murzakanov,Devin Clark,False,KO/TKO,3,1:18,,Frank Trigg,,Devin Clark,0,14 of 52,26%,39 of 83,0 of 0,---,0,0,0:26,14 of 52,4 of 29,3 of 7,7 of 16,13 of 50,1 of 2,0 of 0,Azamat Murzakanov,1,79 of 106,74%,95 of 127,0 of 1,0%,0,0,3:40,79 of 106,41 of 65,31 of 34,7 of 7,24 of 42,9 of 9,46 of 55
Women's Bantamweight Bout,Priscila Cachoeira,Ariane Lipski,False,KO/TKO,1,1:05,,Herb Dean,,Priscila Cachoeira,1,20 of 35,57%,20 of 35,0 of 0,---,0,0,0:11,20 of 35,15 of 27,4 of 5,1 of 3,6 of 17,0 of 0,14 of 18,Ariane Lipski,0,4 of 15,26%,4 of 15,0 of 0,---,0,0,0:00,4 of 15,3 of 12,0 of 2,1 of 1,4 of 15,0 of 0,0 of 0
Middleweight Bout,Gerald Meerschaert,Bruno Silva,False,Submission,3,1:39,,Mike Beltran,,Bruno Silva,0,29 of 81,35%,38 of 93,0 of 0,---,0,0,0:01,29 of 81,17 of 60,6 of 14,6 of 7,27 of 79,2 of 2,0 of 0,Gerald Meerschaert,1,46 of 114,40%,61 of 136,1 of 6,16%,1,0,2:12,46 of 114,28 of 92,9 of 12,9 of 10,36 of 95,0 of 0,10 of 19
Catch Weight Bout,Angela Hill,Loopy Godinez,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Angela Hill,0,85 of 218,38%,88 of 225,1 of 6,16%,0,0,0:36,85 of 218,54 of 173,30 of 44,1 of 1,74 of 201,8 of 14,3 of 3,Loopy Godinez,0,92 of 241,38%,98 of 250,1 of 3,33%,0,0,0:17,92 of 241,72 of 213,19 of 27,1 of 1,85 of 230,7 of 11,0 of 0
Heavyweight Bout,Martin Buday,Lukasz Brzeski,False,Decision - Split,3,5:00,,Frank Trigg,,Martin Buday,0,66 of 188,35%,66 of 188,0 of 0,---,0,0,0:06,66 of 188,50 of 169,3 of 6,13 of 13,65 of 187,1 of 1,0 of 0,Lukasz Brzeski,0,118 of 273,43%,124 of 280,0 of 0,---,0,0,0:00,118 of 273,49 of 182,51 of 69,18 of 22,116 of 268,2 of 5,0 of 0
Women's Flyweight Bout,Nina Nunes,Cynthia Calvillo,False,Decision - Split,3,5:00,,Herb Dean,,Cynthia Calvillo,0,48 of 139,34%,66 of 159,3 of 6,50%,0,0,2:09,48 of 139,16 of 86,17 of 26,15 of 27,47 of 138,1 of 1,0 of 0,Nina Nunes,0,39 of 133,29%,47 of 142,0 of 1,0%,0,0,0:00,39 of 133,17 of 94,4 of 12,18 of 27,38 of 131,1 of 2,0 of 0
Lightweight Bout,Gabriel Benitez,Charlie Ontiveros,False,KO/TKO,1,3:33,,Mike Beltran,,Gabriel Benitez,0,37 of 60,61%,47 of 74,1 of 2,50%,0,0,1:24,37 of 60,26 of 46,6 of 8,5 of 6,14 of 26,2 of 4,21 of 30,Charlie Ontiveros,0,22 of 47,46%,28 of 55,0 of 0,---,0,0,0:00,22 of 47,17 of 40,4 of 6,1 of 1,21 of 45,1 of 2,0 of 0
Flyweight Bout,Tyson Nam,Ode Osbourne,False,KO/TKO,1,2:59,,Jason Herzog,,Ode Osbourne,0,15 of 41,36%,15 of 41,0 of 0,---,0,0,0:00,15 of 41,7 of 32,7 of 8,1 of 1,15 of 41,0 of 0,0 of 0,Tyson Nam,1,13 of 25,52%,13 of 25,0 of 0,---,0,0,0:03,13 of 25,7 of 15,3 of 6,3 of 4,12 of 23,0 of 0,1 of 2
Catch Weight Bout,Josh Quinlan,Jason Witt,False,KO/TKO,1,2:09,,Frank Trigg,,Jason Witt,0,1 of 12,8%,2 of 13,1 of 2,50%,0,0,0:27,1 of 12,0 of 11,1 of 1,0 of 0,1 of 12,0 of 0,0 of 0,Josh Quinlan,1,3 of 12,25%,3 of 12,0 of 0,---,0,0,0:00,3 of 12,2 of 8,0 of 0,1 of 4,3 of 12,0 of 0,0 of 0
Bantamweight Bout,,,True,Decision - Majority,3,5:00,,Herb Dean,,Youssef Zalal,0,63 of 150,42%,82 of 179,1 of 1,100%,1,1,4:52,63 of 150,43 of 126,13 of 14,7 of 10,42 of 114,5 of 7,16 of 29,Da'Mon Blackshear,0,27 of 69,39%,40 of 91,1 of 5,20%,1,2,3:51,27 of 69,10 of 42,6 of 11,11 of 16,27 of 69,0 of 0,0 of 0
Bantamweight Bout,,,True,Decision - Majority,3,5:00,,Herb Dean,,Youssef Zalal,0,63 of 150,42%,82 of 179,1 of 1,100%,1,1,4:52,63 of 150,43 of 126,13 of 14,7 of 10,42 of 114,5 of 7,16 of 29,Da'Mon Blackshear,0,27 of 69,39%,40 of 91,1 of 5,20%,1,2,3:51,27 of 69,10 of 42,6 of 11,11 of 16,27 of 69,0 of 0,0 of 0
Light Heavyweight Bout,Jamahal Hill,Thiago Santos,False,KO/TKO,4,2:31,,Herb Dean,,Thiago Santos,0,53 of 94,56%,56 of 98,6 of 20,30%,0,0,5:54,53 of 94,28 of 66,13 of 16,12 of 12,43 of 82,8 of 9,2 of 3,Jamahal Hill,0,89 of 152,58%,130 of 194,0 of 0,---,0,0,1:26,89 of 152,68 of 131,12 of 12,9 of 9,52 of 107,19 of 21,18 of 24
Welterweight Bout,Geoff Neal,Vicente Luque,False,KO/TKO,3,2:01,,Keith Peterson,,Vicente Luque,0,97 of 203,47%,97 of 203,0 of 0,---,0,0,0:00,97 of 203,56 of 156,26 of 31,15 of 16,91 of 195,6 of 8,0 of 0,Geoff Neal,2,121 of 211,57%,125 of 215,1 of 3,33%,0,0,0:47,121 of 211,113 of 202,5 of 6,3 of 3,103 of 186,17 of 22,1 of 3
Heavyweight Bout,Mohammed Usman,Zac Pauga,False,KO/TKO,2,0:36,,Mark Smith,,Mohammed Usman,1,12 of 40,30%,13 of 41,0 of 1,0%,0,0,0:02,12 of 40,11 of 39,1 of 1,0 of 0,9 of 35,1 of 2,2 of 3,Zac Pauga,0,32 of 50,64%,33 of 51,0 of 0,---,0,0,0:00,32 of 50,14 of 29,9 of 10,9 of 11,31 of 49,1 of 1,0 of 0
Women's Flyweight Bout,Juliana Miller,Brogan Walker,False,KO/TKO,3,3:57,,Keith Peterson,,Brogan Walker,0,30 of 48,62%,52 of 74,0 of 0,---,0,1,1:16,30 of 48,16 of 33,5 of 5,9 of 10,28 of 45,1 of 2,1 of 1,Juliana Miller,0,54 of 85,63%,110 of 156,4 of 4,100%,1,0,9:40,54 of 85,43 of 72,5 of 7,6 of 6,25 of 41,4 of 5,25 of 39
Heavyweight Bout,Serghei Spivac,Augusto Sakai,False,KO/TKO,2,3:42,,Mark Smith,,Augusto Sakai,0,8 of 23,34%,14 of 29,0 of 0,---,0,0,0:23,8 of 23,1 of 14,6 of 8,1 of 1,2 of 17,6 of 6,0 of 0,Serghei Spivac,0,33 of 49,67%,86 of 119,6 of 8,75%,1,0,6:37,33 of 49,33 of 49,0 of 0,0 of 0,9 of 15,0 of 0,24 of 34
Lightweight Bout,Terrance McKinney,Erick Gonzalez,False,Submission,1,2:17,,Keith Peterson,,Terrance McKinney,0,18 of 37,48%,23 of 42,1 of 1,100%,1,0,0:52,18 of 37,15 of 34,3 of 3,0 of 0,14 of 32,3 of 3,1 of 2,Erick Gonzalez,0,9 of 16,56%,10 of 18,0 of 1,0%,0,0,0:00,9 of 16,6 of 11,1 of 2,2 of 3,9 of 16,0 of 0,0 of 0
Middleweight Bout,Michal Oleksiejczuk,Sam Alvey,False,KO/TKO,1,1:56,,Herb Dean,,Sam Alvey,0,3 of 11,27%,3 of 11,0 of 1,0%,0,0,0:00,3 of 11,1 of 9,2 of 2,0 of 0,3 of 11,0 of 0,0 of 0,Michal Oleksiejczuk,2,22 of 37,59%,40 of 57,0 of 0,---,0,0,0:57,22 of 37,18 of 33,4 of 4,0 of 0,10 of 19,0 of 1,12 of 17
Welterweight Bout,Bryan Battle,Takashi Sato,False,KO/TKO,1,0:44,,Mark Smith,,Bryan Battle,1,7 of 10,70%,7 of 10,0 of 0,---,0,0,0:02,7 of 10,4 of 6,2 of 3,1 of 1,6 of 8,0 of 0,1 of 2,Takashi Sato,0,2 of 8,25%,2 of 8,0 of 0,---,0,0,0:00,2 of 8,0 of 5,2 of 2,0 of 1,2 of 8,0 of 0,0 of 0
Women's Strawweight Bout,Cory McKenna,Miranda Granger,False,Submission,2,1:03,,Keith Peterson,,Cory McKenna,0,13 of 22,59%,43 of 53,3 of 4,75%,2,0,4:40,13 of 22,11 of 19,1 of 2,1 of 1,12 of 21,0 of 0,1 of 1,Miranda Granger,0,13 of 34,38%,14 of 35,0 of 0,---,0,0,0:05,13 of 34,5 of 26,2 of 2,6 of 6,11 of 32,2 of 2,0 of 0
Women's Bantamweight Bout,Mayra Bueno Silva,Stephanie Egger,False,Submission,1,1:17,,Chris Tognoni,,Mayra Bueno Silva,0,4 of 4,100%,4 of 4,0 of 0,---,1,0,0:00,4 of 4,1 of 1,0 of 0,3 of 3,4 of 4,0 of 0,0 of 0,Stephanie Egger,0,8 of 13,61%,12 of 17,1 of 1,100%,0,0,0:44,8 of 13,6 of 11,0 of 0,2 of 2,2 of 7,0 of 0,6 of 6
UFC Women's Bantamweight Title Bout,Amanda Nunes,Julianna Pena,False,Decision - Unanimous,5,5:00,,Mike Beltran,,Julianna Pena,0,60 of 154,38%,130 of 239,0 of 0,---,1,0,0:00,60 of 154,54 of 144,6 of 10,0 of 0,59 of 151,1 of 3,0 of 0,Amanda Nunes,3,85 of 152,55%,126 of 201,6 of 8,75%,1,0,11:49,85 of 152,67 of 128,10 of 14,8 of 10,57 of 117,0 of 1,28 of 34
UFC Interim Flyweight Title Bout,Brandon Moreno,Kai Kara-France,False,KO/TKO,3,4:34,,Herb Dean,,Brandon Moreno,1,58 of 151,38%,59 of 153,0 of 3,0%,0,0,0:45,58 of 151,43 of 133,12 of 15,3 of 3,47 of 132,0 of 3,11 of 16,Kai Kara-France,0,53 of 110,48%,66 of 123,1 of 2,50%,0,0,0:24,53 of 110,24 of 71,3 of 4,26 of 35,48 of 104,0 of 0,5 of 6
Heavyweight Bout,Sergei Pavlovich,Derrick Lewis,False,KO/TKO,1,0:55,,Dan Miragliotta,,Derrick Lewis,0,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:00,4 of 6,2 of 4,1 of 1,1 of 1,4 of 6,0 of 0,0 of 0,Sergei Pavlovich,1,15 of 24,62%,15 of 24,0 of 0,---,0,0,0:02,15 of 24,15 of 24,0 of 0,0 of 0,14 of 22,0 of 0,1 of 2
Flyweight Bout,Alexandre Pantoja,Alex Perez,False,Submission,1,1:31,,Kerry Hatley,,Alexandre Pantoja,0,8 of 12,66%,8 of 12,1 of 1,100%,1,0,1:06,8 of 12,7 of 11,1 of 1,0 of 0,7 of 11,1 of 1,0 of 0,Alex Perez,0,10 of 14,71%,10 of 14,0 of 1,0%,0,0,0:00,10 of 14,9 of 13,0 of 0,1 of 1,10 of 13,0 of 1,0 of 0
Light Heavyweight Bout,Magomed Ankalaev,Anthony Smith,False,KO/TKO,2,3:09,,Jacob Montalvo,,Magomed Ankalaev,0,46 of 79,58%,64 of 102,0 of 0,---,0,0,2:26,46 of 79,31 of 60,6 of 9,9 of 10,23 of 46,1 of 1,22 of 32,Anthony Smith,0,18 of 36,50%,21 of 39,0 of 1,0%,0,0,0:51,18 of 36,6 of 21,5 of 8,7 of 7,17 of 35,0 of 0,1 of 1
Welterweight Bout,Alex Morono,Matthew Semelsberger,False,Decision - Unanimous,3,5:00,,Dan Miragliotta,,Alex Morono,0,106 of 194,54%,119 of 209,0 of 4,0%,0,0,0:24,106 of 194,92 of 179,14 of 15,0 of 0,98 of 184,7 of 9,1 of 1,Matthew Semelsberger,1,74 of 229,32%,86 of 241,1 of 1,100%,0,0,2:38,74 of 229,32 of 170,21 of 33,21 of 26,60 of 209,9 of 12,5 of 8
Lightweight Bout,Drew Dober,Rafael Alves,False,KO/TKO,3,1:30,,Mike Beltran,,Drew Dober,1,62 of 151,41%,62 of 151,0 of 0,---,0,0,0:04,62 of 151,38 of 121,20 of 24,4 of 6,60 of 149,0 of 0,2 of 2,Rafael Alves,0,37 of 68,54%,46 of 80,1 of 3,33%,0,0,2:21,37 of 68,24 of 55,8 of 8,5 of 5,31 of 60,1 of 1,5 of 7
Heavyweight Bout,,,False,Overturned,3,5:00,,Kerry Hatley,,Don'Tale Mayes,0,47 of 116,40%,54 of 123,0 of 0,---,0,0,0:00,47 of 116,28 of 90,12 of 17,7 of 9,45 of 111,2 of 5,0 of 0,Hamdy Abdelwahab,1,58 of 110,52%,106 of 164,3 of 4,75%,0,0,6:36,58 of 110,51 of 102,5 of 6,2 of 2,30 of 74,2 of 3,26 of 33
Heavyweight Bout,,,False,Overturned,3,5:00,,Kerry Hatley,,Don'Tale Mayes,0,47 of 116,40%,54 of 123,0 of 0,---,0,0,0:00,47 of 116,28 of 90,12 of 17,7 of 9,45 of 111,2 of 5,0 of 0,Hamdy Abdelwahab,1,58 of 110,52%,106 of 164,3 of 4,75%,0,0,6:36,58 of 110,51 of 102,5 of 6,2 of 2,30 of 74,2 of 3,26 of 33
Lightweight Bout,Drakkar Klose,Rafa Garcia,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Drakkar Klose,0,61 of 115,53%,111 of 175,2 of 10,20%,0,0,2:05,61 of 115,24 of 75,27 of 29,10 of 11,32 of 83,24 of 25,5 of 7,Rafa Garcia,0,34 of 57,59%,83 of 111,3 of 11,27%,0,0,2:54,34 of 57,23 of 45,8 of 8,3 of 4,23 of 44,11 of 13,0 of 0
Welterweight Bout,Michael Morales,Adam Fugitt,False,KO/TKO,3,1:09,,Herb Dean,,Michael Morales,2,83 of 151,54%,89 of 157,0 of 1,0%,0,0,0:12,83 of 151,74 of 140,7 of 9,2 of 2,64 of 127,12 of 17,7 of 7,Adam Fugitt,0,64 of 113,56%,70 of 120,1 of 8,12%,0,0,1:51,64 of 113,32 of 74,20 of 26,12 of 13,58 of 99,6 of 10,0 of 4
Women's Bantamweight Bout,Joselyne Edwards,Ji Yeon Kim,False,Decision - Split,3,5:00,,Mike Beltran,,Joselyne Edwards,0,101 of 234,43%,116 of 250,1 of 3,33%,0,0,2:01,101 of 234,31 of 106,52 of 97,18 of 31,91 of 221,8 of 10,2 of 3,Ji Yeon Kim,0,78 of 193,40%,87 of 203,0 of 0,---,0,0,0:19,78 of 193,33 of 132,22 of 35,23 of 26,70 of 182,7 of 10,1 of 1
Light Heavyweight Bout,Nicolae Negumereanu,Ihor Potieria,False,KO/TKO,2,3:33,,Kerry Hatley,,Nicolae Negumereanu,0,51 of 95,53%,72 of 122,2 of 3,66%,0,0,4:01,51 of 95,44 of 84,7 of 11,0 of 0,23 of 57,25 of 32,3 of 6,Ihor Potieria,0,38 of 70,54%,52 of 85,0 of 0,---,0,0,0:00,38 of 70,26 of 58,3 of 3,9 of 9,31 of 62,6 of 7,1 of 1
Welterweight Bout,Orion Cosce,Blood Diamond,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Orion Cosce,0,25 of 52,48%,77 of 107,3 of 8,37%,0,0,9:26,25 of 52,14 of 38,10 of 13,1 of 1,8 of 27,9 of 14,8 of 11,Blood Diamond,0,63 of 98,64%,90 of 126,0 of 1,0%,0,0,1:08,63 of 98,28 of 55,26 of 29,9 of 14,34 of 60,29 of 37,0 of 1
Heavyweight Bout,Curtis Blaydes,Tom Aspinall,False,KO/TKO,1,0:15,,Herb Dean,,Curtis Blaydes,0,4 of 10,40%,4 of 10,0 of 0,---,0,0,0:01,4 of 10,2 of 8,1 of 1,1 of 1,4 of 10,0 of 0,0 of 0,Tom Aspinall,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,3 of 5,0 of 2,1 of 1,2 of 2,3 of 5,0 of 0,0 of 0
Middleweight Bout,Jack Hermansson,Chris Curtis,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Jack Hermansson,0,100 of 251,39%,100 of 251,0 of 6,0%,0,0,0:00,100 of 251,48 of 176,25 of 45,27 of 30,99 of 246,1 of 5,0 of 0,Chris Curtis,0,43 of 125,34%,43 of 125,0 of 0,---,0,0,0:00,43 of 125,18 of 89,25 of 35,0 of 1,41 of 123,2 of 2,0 of 0
Lightweight Bout,Paddy Pimblett,Jordan Leavitt,False,Submission,2,2:46,,Daniel Movahedi,,Paddy Pimblett,0,17 of 39,43%,30 of 53,1 of 1,100%,4,0,1:44,17 of 39,14 of 34,2 of 4,1 of 1,4 of 22,8 of 9,5 of 8,Jordan Leavitt,0,16 of 22,72%,41 of 48,3 of 9,33%,0,0,4:50,16 of 22,5 of 8,9 of 12,2 of 2,9 of 12,7 of 10,0 of 0
Light Heavyweight Bout,Nikita Krylov,Alexander Gustafsson,False,KO/TKO,1,1:07,,Marc Goddard,,Nikita Krylov,2,26 of 44,59%,26 of 45,0 of 0,---,0,0,0:09,26 of 44,24 of 41,1 of 1,1 of 2,15 of 29,4 of 5,7 of 10,Alexander Gustafsson,0,5 of 8,62%,5 of 9,0 of 0,---,0,0,0:07,5 of 8,4 of 7,1 of 1,0 of 0,5 of 7,0 of 0,0 of 1
Women's Flyweight Bout,Molly McCann,Hannah Goldy,False,KO/TKO,1,3:52,,Herb Dean,,Molly McCann,1,24 of 52,46%,29 of 57,0 of 1,0%,0,0,0:10,24 of 52,20 of 46,3 of 5,1 of 1,19 of 45,2 of 2,3 of 5,Hannah Goldy,0,9 of 33,27%,9 of 33,0 of 5,0%,0,0,1:10,9 of 33,5 of 26,3 of 3,1 of 4,6 of 27,3 of 6,0 of 0
Light Heavyweight Bout,Volkan Oezdemir,Paul Craig,False,Decision - Unanimous,3,5:00,,Lukasz Bosacki,,Paul Craig,0,33 of 126,26%,41 of 136,0 of 15,0%,0,0,0:07,33 of 126,18 of 102,10 of 19,5 of 5,32 of 120,1 of 3,0 of 3,Volkan Oezdemir,0,72 of 129,55%,108 of 170,1 of 2,50%,0,0,5:09,72 of 129,45 of 101,10 of 11,17 of 17,50 of 97,6 of 6,16 of 26
Lightweight Bout,Ludovit Klein,Mason Jones,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Mason Jones,0,43 of 105,40%,78 of 141,0 of 3,0%,0,0,2:17,43 of 105,16 of 70,23 of 31,4 of 4,21 of 75,21 of 27,1 of 3,Ludovit Klein,1,50 of 87,57%,70 of 112,0 of 1,0%,0,0,6:41,50 of 87,37 of 68,10 of 16,3 of 3,31 of 63,7 of 9,12 of 15
Lightweight Bout,Marc Diakiese,Damir Hadzovic,False,Decision - Unanimous,3,5:00,,Herb Dean,,Marc Diakiese,0,13 of 32,40%,78 of 111,8 of 11,72%,0,0,13:35,13 of 32,8 of 25,0 of 2,5 of 5,7 of 25,2 of 2,4 of 5,Damir Hadzovic,0,5 of 10,50%,20 of 25,0 of 1,0%,0,0,0:00,5 of 10,3 of 7,0 of 1,2 of 2,5 of 10,0 of 0,0 of 0
Featherweight Bout,Nathaniel Wood,Charles Rosa,False,Decision - Unanimous,3,5:00,,Lukasz Bosacki,,Nathaniel Wood,0,97 of 159,61%,102 of 166,1 of 1,100%,0,0,1:25,97 of 159,62 of 111,4 of 13,31 of 35,87 of 144,5 of 7,5 of 8,Charles Rosa,0,51 of 167,30%,54 of 170,2 of 9,22%,1,0,0:52,51 of 167,21 of 120,18 of 29,12 of 18,43 of 156,6 of 9,2 of 2
Featherweight Bout,Jonathan Pearce,Makwan Amirkhani,False,KO/TKO,2,4:10,,Daniel Movahedi,,Makwan Amirkhani,0,11 of 22,50%,12 of 23,3 of 7,42%,0,0,1:25,11 of 22,9 of 19,0 of 1,2 of 2,11 of 22,0 of 0,0 of 0,Jonathan Pearce,0,90 of 112,80%,144 of 178,4 of 5,80%,0,0,4:46,90 of 112,75 of 94,11 of 14,4 of 4,16 of 28,37 of 37,37 of 47
Flyweight Bout,Muhammad Mokaev,Charles Johnson,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Muhammad Mokaev,0,12 of 29,41%,32 of 54,12 of 26,46%,0,0,11:44,12 of 29,5 of 17,3 of 7,4 of 5,10 of 26,1 of 2,1 of 1,Charles Johnson,0,12 of 22,54%,71 of 84,0 of 0,---,0,0,0:27,12 of 22,3 of 5,6 of 9,3 of 8,7 of 17,3 of 3,2 of 2
Lightweight Bout,Jai Herbert,Kyle Nelson,False,Decision - Unanimous,3,5:00,,Herb Dean,,Jai Herbert,0,36 of 64,56%,84 of 116,0 of 1,0%,0,0,5:57,36 of 64,16 of 43,17 of 18,3 of 3,22 of 50,13 of 13,1 of 1,Kyle Nelson,0,41 of 62,66%,55 of 77,0 of 4,0%,0,0,3:06,41 of 62,15 of 34,11 of 13,15 of 15,28 of 47,13 of 15,0 of 0
Women's Flyweight Bout,Victoria Leonardo,Mandy Bohm,False,Decision - Unanimous,3,5:00,,Daniel Movahedi,,Mandy Bohm,0,52 of 93,55%,83 of 124,0 of 1,0%,1,0,0:55,52 of 93,26 of 66,14 of 15,12 of 12,35 of 75,17 of 17,0 of 1,Victoria Leonardo,0,39 of 110,35%,85 of 166,2 of 6,33%,0,0,7:06,39 of 110,21 of 80,18 of 26,0 of 4,25 of 94,13 of 15,1 of 1
Welterweight Bout,Nicolas Dalby,Claudio Silva,False,Decision - Unanimous,3,5:00,,Lukasz Bosacki,,Claudio Silva,0,11 of 21,52%,46 of 59,4 of 12,33%,0,0,7:17,11 of 21,4 of 13,4 of 5,3 of 3,11 of 20,0 of 1,0 of 0,Nicolas Dalby,0,45 of 94,47%,61 of 114,1 of 1,100%,1,1,4:17,45 of 94,32 of 78,9 of 12,4 of 4,21 of 59,16 of 21,8 of 14
Featherweight Bout,Yair Rodriguez,Brian Ortega,False,KO/TKO,1,4:11,,Keith Peterson,,Brian Ortega,0,22 of 35,62%,26 of 39,1 of 5,20%,0,0,2:24,22 of 35,18 of 30,3 of 3,1 of 2,15 of 27,7 of 8,0 of 0,Yair Rodriguez,0,23 of 46,50%,48 of 76,0 of 0,---,0,0,0:00,23 of 46,18 of 41,0 of 0,5 of 5,21 of 44,1 of 1,1 of 1
Women's Strawweight Bout,Amanda Lemos,Michelle Waterson-Gomez,False,Submission,2,1:48,,Kevin MacDonald,,Michelle Waterson-Gomez,0,29 of 56,51%,35 of 62,1 of 2,50%,0,0,1:08,29 of 56,7 of 24,7 of 10,15 of 22,27 of 54,0 of 0,2 of 2,Amanda Lemos,0,20 of 35,57%,20 of 35,0 of 0,---,1,1,0:05,20 of 35,11 of 23,3 of 5,6 of 7,20 of 35,0 of 0,0 of 0
Welterweight Bout,Li Jingliang,Muslim Salikhov,False,KO/TKO,2,4:38,,Dan Miragliotta,,Li Jingliang,1,38 of 87,43%,40 of 91,1 of 2,50%,0,0,0:30,38 of 87,13 of 49,12 of 18,13 of 20,30 of 75,6 of 8,2 of 4,Muslim Salikhov,0,23 of 56,41%,33 of 67,1 of 4,25%,0,0,1:10,23 of 56,18 of 48,3 of 6,2 of 2,20 of 51,0 of 1,3 of 4
Flyweight Bout,Matt Schnell,Sumudaerji,False,Submission,2,4:24,,Jacob Montalvo,,Matt Schnell,0,47 of 81,58%,79 of 120,2 of 3,66%,2,1,2:40,47 of 81,36 of 70,5 of 5,6 of 6,16 of 40,9 of 12,22 of 29,Sumudaerji,1,58 of 83,69%,67 of 92,0 of 0,---,0,2,2:13,58 of 83,37 of 61,10 of 11,11 of 11,35 of 53,13 of 19,10 of 11
Featherweight Bout,Shane Burgos,Charles Jourdain,False,Decision - Majority,3,5:00,,Keith Peterson,,Shane Burgos,0,42 of 80,52%,67 of 116,2 of 7,28%,3,0,6:25,42 of 80,16 of 47,6 of 12,20 of 21,28 of 61,13 of 18,1 of 1,Charles Jourdain,0,113 of 188,60%,161 of 241,0 of 1,0%,0,0,2:08,113 of 188,72 of 145,36 of 37,5 of 6,68 of 133,41 of 51,4 of 4
Women's Flyweight Bout,Lauren Murphy,Miesha Tate,False,Decision - Unanimous,3,5:00,,Kevin MacDonald,,Lauren Murphy,0,102 of 184,55%,128 of 211,2 of 6,33%,0,0,1:18,102 of 184,77 of 154,24 of 29,1 of 1,68 of 142,31 of 39,3 of 3,Miesha Tate,0,85 of 164,51%,121 of 201,0 of 7,0%,0,0,2:05,85 of 164,61 of 122,18 of 34,6 of 8,67 of 138,18 of 26,0 of 0
Middleweight Bout,Punahele Soriano,Dalcha Lungiambula,False,KO/TKO,2,0:28,,Dan Miragliotta,,Punahele Soriano,1,17 of 35,48%,19 of 37,0 of 1,0%,0,0,0:04,17 of 35,8 of 25,9 of 10,0 of 0,9 of 26,4 of 5,4 of 4,Dalcha Lungiambula,0,11 of 22,50%,17 of 28,2 of 2,100%,0,0,1:39,11 of 22,6 of 16,2 of 3,3 of 3,9 of 18,0 of 2,2 of 2
Bantamweight Bout,Ricky Simon,Jack Shore,False,Submission,2,3:28,,Jacob Montalvo,,Ricky Simon,1,25 of 38,65%,46 of 59,2 of 8,25%,1,0,4:06,25 of 38,13 of 25,2 of 2,10 of 11,18 of 30,4 of 4,3 of 4,Jack Shore,0,19 of 44,43%,27 of 52,0 of 3,0%,0,0,0:13,19 of 44,15 of 40,4 of 4,0 of 0,17 of 42,2 of 2,0 of 0
